TaskID,TaskName,StartDate,EndDate,PlannedDuration,Dependencies,TeamAllocation,BudgetAllocation,HistoricalSuccessRate,ComplexityScore,Criticality,Progress
T1,Project Planning,2026-02-01,2026-02-05,5,,3,5000,0.95,3,1,100
T2,Requirements Gathering,2026-02-06,2026-02-10,5,,2,3000,0.9,4,1,80
T3,System Design,2026-02-11,2026-02-20,10,T2,3,7000,0.85,5,1,60
T4,Database Setup,2026-02-12,2026-02-18,7,T3,2,4000,0.88,4,1,50
T5,Backend Development,2026-02-21,2026-03-05,13,T3,4,12000,0.8,6,1,30
T6,Frontend Development,2026-02-21,2026-03-07,15,T3,3,10000,0.82,5,1,25
T7,API Integration,2026-03-06,2026-03-12,7,T5|T6,3,6000,0.78,6,1,0
T8,Testing Setup,2026-03-06,2026-03-10,5,T4,2,2000,0.9,4,0,0
T9,Unit Testing,2026-03-11,2026-03-15,5,T8,2,3000,0.85,5,0,0
T10,Integration Testing,2026-03-16,2026-03-22,7,T7|T9,3,5000,0.8,6,1,0
T11,User Acceptance Testing,2026-03-23,2026-03-28,6,T10,2,4000,0.75,5,1,0
T12,Documentation,2026-02-25,2026-03-05,9,T3,2,2000,0.9,3,0,10
T13,Deployment Setup,2026-03-29,2026-03-31,3,T11,2,3000,0.8,4,1,0
T14,Production Deployment,2026-04-01,2026-04-03,3,T13,3,5000,0.85,5,1,0
T15,Project Review,2026-04-04,2026-04-06,3,T14,2,1000,0.95,2,1,0
T16,Post-Deployment Support,2026-04-07,2026-04-15,9,T14,2,3000,0.9,4,0,0
T17,Performance Testing,2026-03-23,2026-03-28,6,T10,2,4000,0.8,5,0,0
T18,Security Audit,2026-03-29,2026-03-31,3,T14,1,3000,0.85,5,1,0
T19,Training Sessions,2026-03-25,2026-03-30,6,T11,2,2000,0.9,3,0,0
T20,Project Closure,2026-04-16,2026-04-18,3,T15|T16,1,1000,0.95,2,1,0
T21,Code Review,2026-03-30,2026-04-02,3,T17,2,2000,0.88,4,0,0
T22,Bug Fixing,2026-03-31,2026-04-04,3,T18,2,2500,0.9,3,1,20
T23,Refactoring,2026-04-02,2026-04-07,5,T19,2,3000,0.82,5,1,30
T24,Feature Enhancement,2026-04-05,2026-04-10,5,T20,3,3500,0.85,4,0,10
T25,Load Testing,2026-04-06,2026-04-12,4,T5|T6,3,4000,0.8,4,1,0
T26,Backup Setup,2026-04-07,2026-04-13,2,T12,1,1500,0.9,3,0,5
T27,Monitoring Setup,2026-04-08,2026-04-15,2,T16,2,2000,0.85,4,1,0
T28,Client Feedback,2026-04-10,2026-04-17,3,T15,2,2500,0.88,3,0,0
T29,Team Meeting,2026-04-12,2026-04-19,3,T28,2,3000,0.9,2,1,0
T30,Final Sign-off,2026-04-13,2026-04-20,2,T29,1,1000,0.95,2,1,0
